Service: OnAllLights,  Device: 6 numTimegetDeviceOff: 1

Service: OnAllLights,  Device: 7 numTimegetDeviceOff: 1

Service: OnAllLights,  Device: 8 numTimegetDeviceOff: 1

Service: OnAllLights,  Device: 9 numTimegetDeviceOff: 1

Service: OnAllLights,  Device: 10 numTimegetDeviceOff: 1

Service: OnAllLights,  Device: 11 numTimegetDeviceOff: 0

Service: OnAllLights,  Device: 12 numTimegetDeviceOff: 1

Service: OnAllLights,  Device: 13 numTimegetDeviceOff: 2

Service: OnAllLights,  Device: 14 numTimegetDeviceOff: 1

Service: OnAllLights,  Device: 15 numTimegetDeviceOff: 1

Service: OnAllLights,  Device: 16 numTimegetDeviceOff: 1

Service: OnAllLights,  Device: 17 numTimegetDeviceOff: 1

Service: OnLightsBathroom,  Device: 1 numTimegetDeviceOff: 0

Service: OnLightsBathroom,  Device: 3 numTimegetDeviceOff: 1

Service: OnLightsKitchen,  Device: 2 numTimegetDeviceOff: 1

Service: OnLightsKitchen,  Device: 4 numTimegetDeviceOff: 1

Service: OnLightsLiving,  Device: 5 numTimegetDeviceOff: 1

Service: OnLightsLiving,  Device: 6 numTimegetDeviceOff: 1

Service: OnLightsLiving,  Device: 7 numTimegetDeviceOff: 1

Service: OnLightsLiving,  Device: 8 numTimegetDeviceOff: 1

Service: OnLightsHallway,  Device: 9 numTimegetDeviceOff: 1

Service: OnLightsHallway,  Device: 10 numTimegetDeviceOff: 1

Service: OnLightsCorridor,  Device: 11 numTimegetDeviceOff: 0

Service: OnLightsBedroom1,  Device: 14 numTimegetDeviceOff: 1

Service: OnLightsBedroom1,  Device: 15 numTimegetDeviceOff: 1

Service: OnLightsBedroom2,  Device: 12 numTimegetDeviceOff: 1

Service: OnLightsBedroom2,  Device: 13 numTimegetDeviceOff: 2

Service: OnHomeOffice,  Device: 16 numTimegetDeviceOff: 1

Service: OnHomeOffice,  Device: 17 numTimegetDeviceOff: 1

Service: NighttimeArea,  Device: 11 numTimegetDeviceOff: 0

Service: NighttimeArea,  Device: 12 numTimegetDeviceOff: 1

Service: NighttimeArea,  Device: 13 numTimegetDeviceOff: 2

